Year,Rating,Votes,Metascore,Action,Adventure,Aniimation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sport,Thriller,War,Western,Success
2016,6.0,53183.0,51.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2012,8.5,1222645.0,78.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2016,7.5,198243.0,77.0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
2014,5.7,255483.0,32.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,6.6,69651.0,58.0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2008,6.4,153481.0,51.0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
2015,8.0,499424.0,76.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
2016,7.3,50953.0,79.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,6.0,109756.0,69.0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,6.4,78328.0,59.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
2014,8.5,477276.0,88.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2013,7.1,318051.0,61.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2012,7.3,200090.0,68.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2007,8.1,660286.0,91.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2013,7.3,386102.0,55.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
2010,8.1,855604.0,63.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
2009,8.0,526324.0,82.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2010,6.2,34184.0,56.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015,7.8,246360.0,81.0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,8.2,224132.0,86.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,8.4,1039115.0,81.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
2016,8.1,33418.0,84.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
2016,7.4,47694.0,77.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,7.6,410249.0,56.0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
2007,7.6,442082.0,76.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016,6.2,97623.0,42.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,6.4,50853.0,66.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2012,7.2,735604.0,68.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2016,5.8,4299.0,65.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,7.6,243230.0,82.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,4.7,97618.0,29.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2013,7.0,400519.0,64.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2011,7.4,396714.0,68.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2010,7.5,291457.0,69.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2007,7.9,373244.0,81.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2016,7.0,6946.0,63.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,8.0,552298.0,74.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016,6.1,78043.0,47.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,8.0,495106.0,80.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2008,5.2,361449.0,56.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
2016,6.5,156567.0,46.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,7.3,39723.0,51.0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2016,7.3,76935.0,48.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2015,6.8,308981.0,60.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2014,7.9,332476.0,76.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2016,7.9,72778.0,84.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2013,8.0,390531.0,90.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2013,7.5,451894.0,74.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2015,6.5,143069.0,60.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014,7.6,337777.0,79.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2008,7.0,321442.0,71.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
