Year,Rating,Votes,Metascore,Action,Adventure,Aniimation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sport,Thriller,War,Western,Success
2016,7,6946,63,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,8,552298,74,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016,6.1,78043,47,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,8,495106,80,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2008,5.2,361449,56,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
2016,6.5,156567,46,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,7.3,39723,51,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2016,7.3,76935,48,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2015,6.8,308981,60,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2014,7.9,332476,76,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2016,7.9,72778,84,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2013,8,390531,90,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2013,7.5,451894,74,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2015,6.5,143069,60,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014,7.6,337777,79,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2008,7,321442,71,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016,7.4,137203,65,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
2015,7.3,368912,64,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016,6.7,43086,59,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2015,6.8,101781,83,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2015,7,117018,67,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
2016,8,22389,85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2016,6.3,11944,53,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2015,6.6,97454,66,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
2011,7.8,461509,78,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,6.3,106364,75,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2016,7.2,27382,60,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2015,8.1,268282,93,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2016,5.8,22107,48,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2011,8.2,355722,71,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2011,6.9,547368,66,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2007,8.1,459304,73,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
